"","ENSG00000007968.7","ENSG00000080839.12","ENSG00000096968.14","ENSG00000101412.13","ENSG00000103479.16","ENSG00000105173.14","ENSG00000105810.10","ENSG00000110092.4","ENSG00000111276.11","ENSG00000112242.15","ENSG00000115415.20","ENSG00000118971.9","ENSG00000123374.11","ENSG00000124762.14","ENSG00000126561.17","ENSG00000129173.13","ENSG00000133101.10","ENSG00000133740.11","ENSG00000134057.15","ENSG00000135446.17","ENSG00000136997.21","ENSG00000139687.16","ENSG00000147883.12","ENSG00000147889.18","ENSG00000162434.13","ENSG00000164045.12","ENSG00000165891.16","ENSG00000168610.16","ENSG00000169016.17","ENSG00000170312.16","ENSG00000170581.14","ENSG00000173757.10","ENSG00000197122.12","ENSG00000205250.9"
"TCGA-64-1676-01A-01R-0946-07",105,576,1310,563,1735,168,426,3919,2622,321,9591,340,691,2773,687,175,97,176,1554,3018,3466,3033,263,242,3129,126,61,5492,308,2439,2136,1527,1922,3220
"TCGA-62-A46V-01A-11R-A24H-07",104,411,511,733,5294,250,319,10522,2052,1198,7984,1085,945,5428,1016,338,4,406,2221,2608,1499,2116,505,153,5417,124,82,10158,445,1729,7678,1571,4911,2309
"TCGA-78-7167-01A-11R-2066-07",31,314,676,196,8766,33,1545,15328,7957,1341,12967,2073,1073,2002,924,234,70,1224,639,2138,4317,4713,1808,380,12941,48,33,28616,1510,125,9890,5515,10021,3986
"TCGA-44-2665-01A-01R-A278-07",147,1113,2718,185,10240,174,5094,5035,3096,612,13376,4798,833,3160,872,249,104,587,1814,2348,2002,4066,284,22,8845,107,215,13085,394,1544,8447,1841,665,2586
"TCGA-55-7284-01B-11R-2241-07",211,537,2791,564,7911,202,2765,11151,5507,677,14793,1948,1256,24704,3468,129,33,290,565,2619,2631,4558,3139,23,16611,121,194,21376,648,648,8478,5061,19110,4649
"TCGA-78-7162-01A-21R-2066-07",207,391,1665,1097,4231,99,1430,9572,5002,1463,18845,2793,1039,8022,2111,197,32,527,838,2069,2167,4542,2003,95,13876,183,53,31215,652,542,5692,4598,5422,2791
"TCGA-50-5931-01A-11R-1755-07",472,894,261,1975,3161,817,4506,1320,2806,2379,4048,1281,1843,5210,630,135,23,210,2839,3941,5663,420,1303,326,6406,336,1209,11614,614,1264,5043,1740,3239,3198
"TCGA-75-6212-01A-11R-1755-07",95,159,528,196,2199,94,374,5564,1681,602,6520,1414,357,5320,913,88,270,131,500,1308,404,1505,550,118,7390,78,33,9898,258,451,2589,932,1509,1676
"TCGA-97-7546-01A-11R-2039-07",169,805,1358,540,4537,140,816,8471,2886,1548,10772,2478,939,6211,1897,177,58,400,641,1463,2713,2884,1615,889,13573,110,207,25142,603,600,4206,3585,1966,1829
"TCGA-44-5644-01A-21R-2039-07",656,435,144,1135,1576,100,1188,9069,287,1095,4770,293,1035,1663,276,323,2,883,1451,1520,2471,780,423,157,3548,339,153,6933,557,785,4664,1517,4241,2010
"TCGA-55-8299-01A-11R-2287-07",289,581,1852,835,3165,905,3121,12408,3676,1493,37061,3582,1212,6074,4325,432,383,475,2987,1871,3978,3130,2325,96,13254,475,208,25087,497,1709,10089,4755,2897,4139
"TCGA-75-6211-01A-11R-1755-07",757,425,394,1134,2609,258,1258,5482,2299,2039,7393,687,1527,958,1141,385,2,831,1737,2340,1899,1604,291,62,5317,268,26,11120,439,1332,4123,2556,7013,2214
"TCGA-MP-A4SW-01A-21R-A24X-07",536,356,566,1215,3333,339,520,7074,4198,977,11794,1342,1168,5831,1970,526,12,748,1477,1616,2044,2066,404,66,9902,131,99,15358,475,1335,7870,2566,2921,3629
"TCGA-78-7149-01A-11R-2039-07",62,141,445,281,1333,142,951,3007,2322,1539,3849,6685,535,5189,525,156,16,301,551,991,3336,2524,1366,1203,4769,71,34,16698,586,394,2942,2116,3065,2549
"TCGA-S2-AA1A-01A-12R-A39D-07",94,301,1296,221,3038,107,3639,7254,3154,587,9347,1916,648,4648,1891,1078,16,309,223,1512,1336,1221,1154,540,7071,47,50,8470,335,201,6832,2741,6767,2692
"TCGA-95-A4VN-01A-11R-A262-07",578,1111,1146,1235,1661,253,1011,14844,2282,2411,33951,1621,1668,14130,2138,676,70,748,3715,3024,8130,2490,848,181,8002,356,112,13892,598,2935,12000,3799,5202,3501
"TCGA-55-8096-01A-11R-2241-07",530,1064,1214,1083,5103,352,2962,13677,3282,1805,18470,3223,1157,7503,2385,235,17,578,1256,13259,2547,3813,3830,1888,11740,173,141,15542,855,1265,9028,3719,8916,4514
"TCGA-05-4398-01A-01R-1206-07",651,3458,2187,2786,7615,1426,2355,14465,7828,2996,46818,2339,2344,11232,5384,1051,389,1836,4062,8235,7475,4958,977,495,21910,511,249,38496,1145,5476,22475,5836,15072,8098
"TCGA-97-8171-01A-11R-2287-07",450,480,837,1488,2681,288,1508,13324,4324,3199,8946,385,1848,3894,993,354,4,1223,2333,4760,15327,3259,1028,103,9744,569,100,26785,759,1587,6365,4808,12510,3321
"TCGA-50-5930-01A-11R-1755-07",107,211,236,330,1215,286,330,3506,1487,476,4768,435,497,2029,634,82,7,140,559,679,466,731,61,15,4147,92,40,6023,279,269,1988,1159,1067,1297
"TCGA-55-A492-01A-11R-A24H-07",29,131,369,398,1595,48,748,3830,2528,341,4608,2263,496,5236,823,22,17,239,373,986,3361,1248,679,1775,5384,48,9,11265,572,222,4005,2144,2629,3076
"TCGA-71-8520-01A-11R-2403-07",371,478,505,655,3903,275,917,7673,1791,723,12936,689,746,4020,923,501,6,170,869,1350,582,1327,328,8,7947,159,172,16411,614,1117,5314,2061,2660,2961
"TCGA-44-3396-01A-01R-1206-07",582,1401,3232,2314,7291,1105,4205,19833,6195,3705,42417,2449,3021,15549,4549,1123,31,1668,5735,10612,3541,6259,2063,8151,17899,702,570,36215,1163,2272,15999,7215,6116,10437
"TCGA-44-3396-11A-01R-1758-07",94,608,2703,573,7514,79,3620,19582,5332,1302,21795,8701,1053,19796,5343,64,116,326,347,2136,5628,5339,4251,363,21116,63,46,38667,769,415,7367,8328,4516,4745
"TCGA-55-A57B-01A-12R-A39D-07",378,547,1201,891,5839,165,2323,15330,3335,1614,19002,9307,969,12395,1888,154,43,498,503,2505,4085,2745,3449,729,14331,123,108,22659,1138,642,11044,4854,5255,4669
"TCGA-L9-A443-01A-12R-A24H-07",158,632,819,625,1151,167,340,9794,2153,1014,9942,932,863,5932,1813,97,30,472,654,936,1229,881,574,148,5478,55,59,18594,883,677,6663,4349,3799,1971
"TCGA-55-A4DG-01A-11R-A24H-07",215,542,777,573,6166,93,611,12569,3382,1076,9660,942,639,1578,1581,185,4,864,328,1399,1868,1720,577,359,8558,39,32,10954,443,401,5158,3713,3597,2671
"TCGA-44-6775-01A-11R-A278-07",533,1356,1778,1117,2531,345,1927,6078,2113,972,13349,3539,766,5586,1824,487,4,137,889,1424,1275,1291,2565,1445,11601,234,279,19290,577,1046,6681,2298,1831,1317
"TCGA-67-4679-01B-01R-1755-07",83,225,630,744,5902,94,429,11031,3075,1195,6476,1126,770,1931,1464,80,37,428,312,1918,1146,1811,1031,341,7858,66,47,18195,390,479,5523,3279,3061,2449
"TCGA-64-5781-01A-01R-1628-07",289,324,610,1077,1207,344,1587,11332,2352,1059,23287,1312,1083,5541,1075,163,67,233,2258,1714,2180,1253,1239,2847,4294,151,74,8077,599,1742,4066,1710,775,2870
"TCGA-93-A4JO-01A-21R-A24X-07",245,812,1459,3609,2276,501,1896,39882,3324,1928,16249,2330,937,4489,2819,502,120,576,938,1523,2842,1676,2783,2553,6870,271,68,11308,421,1410,8762,2946,3580,3131
"TCGA-NJ-A4YP-01A-11R-A262-07",984,868,1850,2628,3434,995,1355,22811,8112,3781,32105,4545,1748,6616,4147,739,47,1269,3751,4179,13576,5035,2784,549,13530,309,253,36879,1097,2260,16566,6784,11228,6611
"TCGA-69-7974-01A-11R-2187-07",730,1563,1921,1604,6463,800,1114,46287,5267,1350,45903,2171,1741,11634,4371,1045,111,815,2908,3216,4618,5333,2020,1438,13664,593,230,36522,746,2845,11263,7140,7968,5007
"TCGA-MP-A4T7-01A-11R-A24X-07",274,381,668,951,4117,497,602,7250,4470,1031,9244,1457,1034,7743,1745,784,14,288,1443,2032,2288,1826,804,25,6583,318,209,12930,497,2881,9346,2583,5260,4313
"TCGA-55-6642-01A-11R-1858-07",264,514,673,488,2300,114,823,7757,2733,1001,10884,2415,804,2345,966,151,10,759,1171,1599,298,2027,744,65,6052,100,70,14995,507,681,5049,2983,2414,1438
"TCGA-49-AAR9-01A-21R-A41B-07",321,662,448,1836,2066,750,1704,19102,2099,1790,17972,392,2224,11491,676,423,0,187,2081,4588,1229,970,1694,5202,10676,527,867,10947,1714,3849,6105,2405,8419,3769
"TCGA-69-8253-01A-11R-2287-07",70,261,997,311,3787,83,520,25579,1318,2677,11326,1243,785,11034,2111,52,68,969,2132,1759,1471,3602,1375,81,8962,61,30,28776,1377,504,6036,5755,5622,6796
"TCGA-05-4249-01A-01R-1107-07",206,749,1182,466,9986,234,551,10680,5968,1673,25899,2508,1141,5729,3031,194,90,777,724,3265,2955,4685,2552,918,14704,71,99,33756,1217,769,10878,5463,14171,4450
"TCGA-44-7669-01A-21R-2066-07",2165,1590,1226,4568,4233,695,4382,2811,7073,5082,47554,1932,4256,5163,2455,856,49,685,7947,8329,7624,1961,708,1713,10048,2774,1475,20269,2101,3367,13291,3680,5532,3855
"TCGA-71-6725-01A-11R-1858-07",284,529,1205,1797,5677,211,2315,78515,4695,1800,7203,614,959,2281,2526,424,18,1042,1468,2755,1584,3061,2926,920,10888,206,566,32534,607,1774,5737,3458,11684,5165
"TCGA-73-7499-01A-11R-2187-07",595,2068,1673,3853,2901,615,600,1077,3517,2120,35953,1281,3506,7554,2401,507,60,1008,6227,5640,1486,1188,1093,5242,6141,416,350,19385,1105,5528,7790,4125,4370,4653
"TCGA-MP-A4TH-01A-31R-A262-07",135,294,1073,378,5629,51,1466,16319,3138,755,12387,2455,937,3724,2341,107,10,524,350,1526,1976,2133,851,357,9317,125,48,22825,612,245,9317,4889,2950,3216
"TCGA-55-8208-01A-11R-2241-07",531,1046,2224,1572,3000,711,1797,4525,4771,1808,46859,4467,1712,7285,4329,312,64,368,1602,4048,1982,2543,3098,3584,13049,274,236,18571,771,1404,14592,4844,7129,4026
"TCGA-78-7156-01A-11R-2039-07",46,123,398,316,6303,39,908,2752,4464,1119,8501,1423,450,1636,357,57,12,529,411,1448,1554,2756,100,11,9230,25,24,13780,491,164,4810,1607,3345,1920
"TCGA-75-5122-01A-01R-1755-07",342,639,2633,850,2934,212,743,8574,4530,1311,41982,1518,1076,6790,2776,192,428,219,1948,30996,3280,3595,214,149,7421,278,208,12035,505,1543,7374,3122,2941,3582
"TCGA-55-6970-11A-01R-1949-07",49,342,1651,204,3528,41,1661,7804,2305,417,14297,2361,417,5524,1620,14,20,190,127,734,1585,2362,1941,26,7783,36,24,11563,265,214,4170,2923,1707,1364
"TCGA-50-6595-01A-12R-1858-07",193,566,1441,591,1366,301,4449,14107,1658,1160,28209,1332,1205,6997,1017,423,115,217,3616,3139,2863,2743,1843,1197,7316,437,900,8815,303,2095,7515,1325,2570,3348
"TCGA-50-7109-01A-11R-2039-07",202,656,643,1252,3469,399,934,12798,3872,1135,12945,3301,673,3971,678,364,4,1986,2065,1771,821,2334,391,84,4683,95,1251,16890,340,4044,5096,2842,2959,2813
"TCGA-NJ-A55R-01A-11R-A262-07",723,875,1062,2079,7334,291,1862,16514,3982,2600,12821,1716,1558,10140,2375,268,42,1031,2871,4046,4323,3859,1440,936,17175,358,175,38188,1655,1689,11057,6949,12862,8757
"TCGA-53-A4EZ-01A-12R-A24X-07",1052,698,584,1899,2062,995,664,5144,2524,4974,13908,827,1933,1331,1269,339,3,1685,4222,3691,4675,646,907,4010,5851,834,141,10364,1128,4462,6337,4188,4358,4315
"TCGA-44-7667-01A-31R-2066-07",3842,2694,285,6407,2869,849,610,35237,4980,4862,15081,704,3119,5293,778,1029,0,2002,10217,9150,451,9214,49,17,4412,1099,379,19462,2904,6581,5335,1938,5245,10056
"TCGA-55-6968-01A-11R-1949-07",1048,1082,765,2861,1586,462,647,767,3138,1825,27494,1569,1738,4962,2221,396,38,367,4377,4196,1046,830,949,3281,4580,767,751,6932,1498,5078,4424,3708,4400,2742
"TCGA-NJ-A4YG-01A-22R-A262-07",103,216,477,275,1803,120,516,7170,3381,1226,9826,1544,718,4923,1450,84,12,447,1030,1693,3552,1670,2090,285,4930,50,35,10203,414,297,6135,2470,3770,2171
"TCGA-86-A456-01A-11R-A24H-07",160,262,788,406,3307,554,462,8199,1973,1042,17380,1248,584,10161,982,64,7,621,568,1839,3506,1464,1239,394,4940,107,24,11670,742,501,17496,1903,2875,3475
"TCGA-38-4632-01A-01R-1755-07",235,432,486,1545,1763,805,670,8413,2669,577,11381,329,670,2717,812,109,153,976,2513,3689,3153,1222,237,354,2960,308,23,6524,523,3566,1852,1291,2384,2639
"TCGA-38-4632-11A-01R-1755-07",61,163,937,283,2228,31,637,1741,2045,477,12351,1112,335,5092,1350,15,51,196,186,1476,1122,2177,400,12,4318,43,9,9358,391,258,2329,1637,1384,1534
"TCGA-MP-A4TJ-01A-51R-A262-07",183,366,1485,440,2605,124,1072,5302,3066,688,27892,2106,733,5955,1993,143,89,485,1118,1303,1542,1652,403,54,6664,105,86,12627,304,556,6341,3217,2151,1959
"TCGA-97-8174-01A-11R-2287-07",129,555,4067,1709,9380,150,2123,32604,6337,1220,20185,2771,1495,23770,2796,238,7,731,834,3371,1522,5046,1351,438,14681,152,77,56513,714,503,16345,6522,4739,5152
"TCGA-MP-A4SY-01A-21R-A24X-07",186,730,1027,496,3182,383,868,22497,2997,2174,14688,1975,1200,15866,1293,425,77,901,4771,2713,6181,2114,1899,770,7692,140,195,19438,692,955,7994,3072,7817,4030
"TCGA-91-6849-11A-01R-1949-07",25,211,1366,194,2715,26,1301,12391,2320,237,4651,2477,614,7907,1327,30,239,144,123,693,2744,1922,2412,38,6365,22,26,12008,322,154,2574,2648,1722,1553
"TCGA-62-8397-01A-11R-2326-07",44,67,219,190,776,20,59,3390,910,358,1418,192,184,1194,318,161,11,104,223,759,242,196,616,138,2727,49,9,3374,142,144,1607,452,1060,985
"TCGA-55-6971-11A-01R-1949-07",34,251,1219,309,4108,26,1264,7766,2806,387,6474,4425,593,3942,1998,19,1,241,112,942,1370,1762,1930,49,7624,53,18,13171,331,148,4031,3079,2356,1619
"TCGA-L9-A8F4-01A-11R-A39D-07",550,1107,1042,2129,4621,606,3160,21842,3797,2067,17471,2627,1485,3605,2505,1383,5,746,2501,2545,6555,1420,698,869,8397,377,195,10418,689,1951,9253,3943,7450,4400
"TCGA-75-5126-01A-01R-1755-07",170,407,985,587,2482,699,1861,3785,3721,730,14686,703,1163,4498,1567,241,55,237,2813,3656,4557,1869,628,1537,6810,287,261,10817,366,1589,4522,1528,4813,3925
"TCGA-91-6828-01A-11R-1858-07",151,368,678,273,2857,68,490,4124,1465,1162,14651,644,558,4116,871,110,5,570,766,1426,2104,1776,318,52,4906,142,73,14858,324,522,3337,2067,1974,1657
"TCGA-MP-A4TA-01A-21R-A24X-07",700,1055,695,2558,3135,815,2155,9062,3097,1567,50443,1001,1994,4512,1471,896,16,1103,3103,2664,3144,2217,1190,1362,6759,492,513,17602,1023,2741,8557,2315,8719,5499
"TCGA-86-7711-01A-11R-2066-07",1099,931,1478,2685,3694,1238,7495,22259,3333,3620,20413,1627,2271,9549,1836,948,1095,470,2763,3304,5060,4975,3060,848,26848,825,218,39341,3232,4579,7812,3437,4818,2856
"TCGA-49-4512-11A-01R-1858-07",14,186,1022,231,1784,23,769,4407,3039,186,9300,2757,407,1711,1414,13,124,234,251,1346,462,1613,2317,61,3717,23,11,5902,221,251,1647,1650,1300,836
"TCGA-50-5045-01A-01R-1628-07",270,800,1708,671,2662,309,1174,9613,6304,1143,16318,2056,1205,11605,2947,172,81,505,2052,3718,1958,3582,1522,420,8016,207,79,11148,532,1814,6490,3602,2732,3779
"TCGA-55-6975-01A-11R-1949-07",195,442,446,600,1172,309,1793,8117,1433,952,9775,2487,728,4036,487,565,11,188,2030,1118,1708,1328,540,103,7646,218,201,5689,485,1777,3283,1196,1675,1770
"TCGA-05-4417-01A-22R-1858-07",157,308,816,342,2816,107,805,5697,2079,804,14744,2351,527,3947,1194,136,5,542,892,2014,1758,1981,658,104,7110,94,53,15267,478,631,4252,2229,2077,2043
"TCGA-44-7660-01A-11R-2066-07",330,1287,1178,2528,1635,730,5115,8204,3493,3635,10393,769,3021,2714,2250,588,198,321,2468,5348,5584,1658,6747,10774,14974,599,587,14242,1417,6562,6929,4196,4291,3248
"TCGA-69-7979-01A-11R-2187-07",1035,917,1738,2613,1911,992,1698,35237,3330,3987,19066,698,1907,6613,1575,551,64,664,1890,3405,2890,2321,1322,766,10854,713,107,30519,833,1444,10511,2307,5234,3071
"TCGA-55-A491-01A-11R-A24H-07",421,630,648,1684,1601,1590,512,3859,1293,1739,9599,1400,1617,7687,3077,661,0,397,569,2582,959,1143,3898,6870,4601,268,163,13982,567,1174,7321,2392,8310,2619
"TCGA-49-6743-11A-01R-1858-07",16,197,865,121,2919,20,1340,6578,1740,356,4892,4641,678,18394,1540,9,9,144,143,1459,6437,2100,1962,40,7520,19,8,12655,368,227,2373,3003,1629,1604
"TCGA-L9-A743-01A-43R-A39D-07",389,815,1110,1166,2941,430,1106,10503,3860,1532,33809,3152,961,11110,2597,400,116,626,1220,2544,3734,1550,306,78,8773,337,161,17408,764,1157,7905,4007,4965,3311
"TCGA-55-A494-01A-11R-A24X-07",186,347,315,940,4285,429,160,17727,4464,1628,3633,623,1137,3660,884,479,8,683,2507,1818,2591,740,339,116,7581,270,74,20300,857,1235,5320,4402,4151,2701
"TCGA-44-7662-01A-11R-2066-07",733,1923,1522,3300,4439,606,3850,50851,4174,2861,42381,2416,1858,8153,2403,822,6,754,3573,3521,3812,3630,1567,3151,12633,712,326,19491,622,2831,15374,4743,6178,7084
"TCGA-55-7910-01A-11R-2170-07",269,646,272,537,1808,111,254,7016,1648,742,3771,630,1081,1338,334,248,1,159,925,1213,371,1821,215,36,3003,151,84,13332,363,1726,3351,1460,1411,2181
"TCGA-69-7980-01A-11R-2187-07",413,1025,1670,3069,5373,569,1504,17326,4647,2401,41556,1728,4448,10764,2543,411,58,363,1331,6509,1334,2578,184,80,7997,431,429,19719,1502,1379,31803,3323,10314,6645
"TCGA-49-4506-01A-01R-1206-07",201,298,1406,788,1778,994,910,8346,6488,1818,27490,1053,977,12984,1575,266,407,1212,7974,3995,8649,3557,438,620,3995,351,95,12705,1151,4761,4249,2661,2250,4431
"TCGA-55-8097-01A-11R-2241-07",187,416,1292,497,9108,152,795,19554,5972,1815,8531,2077,1226,8398,2846,128,3,890,673,3314,1830,2805,2311,820,14299,94,58,27140,733,471,9685,5094,6090,5231
"TCGA-73-4668-01A-01R-1206-07",384,1438,896,1728,8948,451,663,93408,5983,5044,17809,1517,2341,15086,3068,553,14,849,2329,7078,11816,2963,574,641,17258,292,145,35063,1441,2259,8333,6914,6012,8103
"TCGA-NJ-A55A-01A-11R-A262-07",66,213,949,177,3068,31,760,4461,2044,632,6542,1419,407,2248,1257,142,244,214,324,870,984,1204,599,44,5407,30,71,9007,252,333,3892,1805,1474,1420
"TCGA-86-8672-01A-21R-2403-07",97,332,602,608,981,128,1286,7081,1824,1221,20244,1389,845,4578,1359,378,6,353,1645,1258,1672,1801,1673,2693,3625,196,121,8816,336,1320,5007,1407,4399,2625
"TCGA-86-8673-01A-11R-2403-07",461,436,367,1936,959,1023,179,1649,1412,1575,4766,1228,1228,3868,1185,287,2,339,1665,1946,1595,851,872,4698,3450,200,32,9896,393,1106,3646,1440,1211,2593
"TCGA-78-7153-01A-11R-2039-07",159,381,331,855,2218,104,1023,5503,1580,826,3811,846,729,2126,1145,166,5,2736,1929,2219,8535,1678,325,135,3189,188,31,13954,287,723,1869,2810,4844,2743
"TCGA-97-A4M7-01A-11R-A24X-07",287,542,1546,828,5868,175,985,10922,4552,1366,17479,6068,1224,7903,2748,198,98,307,879,2813,653,2975,2463,53,10681,60,202,18195,463,780,11641,3949,3958,4902
"TCGA-62-A46R-01A-11R-A24H-07",268,1019,1401,1777,3301,205,392,16599,4276,917,16680,1167,893,1896,1995,352,25,782,1619,1346,1589,953,528,113,7914,138,118,11119,720,1348,7388,5507,4304,3284
"TCGA-50-5055-01A-01R-1628-07",145,299,974,287,1551,121,541,3264,2035,543,7713,2082,607,4073,1761,77,98,293,722,5575,1349,1706,521,656,4782,99,38,6827,408,661,3230,2154,1687,1865
"TCGA-38-4628-01A-01R-1206-07",371,1248,619,2407,6774,472,263,20109,5860,1258,10480,522,2405,14491,3781,401,23,580,2556,30867,1375,2198,1717,2558,6830,216,114,19555,1437,3667,6366,5047,7432,4256
"TCGA-50-5946-02A-11R-2090-07",956,1290,857,2473,3478,771,2533,30144,5322,5258,27772,2014,1947,6989,1922,948,12,499,3567,4811,2834,2398,462,34,10553,907,708,19451,1089,5261,9129,4649,5821,4125
"TCGA-86-7713-01A-11R-2066-07",685,2635,1968,3049,8676,663,703,20831,2698,2966,27217,942,2096,2465,1406,625,0,2322,4002,4302,5035,2703,3021,371,9119,903,472,38046,948,2575,15086,5067,10219,4415
"TCGA-86-8073-01A-11R-2241-07",304,1327,1636,1022,4288,1107,7759,7796,3782,4438,22975,2043,1189,3549,2757,649,23,958,1646,3660,4732,4927,6166,1896,19140,245,272,35319,1688,1569,13782,3824,15515,3666
"TCGA-44-2662-01B-02R-A277-07",76,917,2618,129,2555,1007,3483,2250,978,923,6457,1642,397,554,501,229,11,317,690,223,715,2258,792,313,6283,155,230,6164,271,1236,2556,851,713,430
"TCGA-MN-A4N4-01A-12R-A24X-07",152,699,693,2041,6308,1816,2614,7951,3971,1741,7523,1383,871,8393,2148,113,28,564,924,4292,1312,1942,3774,1348,8518,136,89,12399,529,878,6315,2447,5548,6401
"TCGA-53-7626-01A-12R-2066-07",497,1411,2124,908,7397,275,2079,22990,7050,1774,32879,2933,1617,11901,4053,424,33,518,1139,3909,7560,5126,4343,1390,20646,215,197,35149,935,1241,10185,6110,5806,5238
"TCGA-62-A46O-01A-11R-A24H-07",891,989,864,1763,2893,636,1412,1630,2224,1529,20704,379,2755,2579,444,1505,10,627,3328,1576,1979,1727,35,7,13654,696,437,9733,1119,4101,11904,2649,3464,2676
"TCGA-44-A47G-01A-21R-A24H-07",320,654,1112,527,2313,253,636,8077,2768,1118,24276,1683,822,4834,2256,163,119,505,1027,1336,1941,1779,889,784,8556,128,78,12196,649,783,5599,2518,3554,2925
"TCGA-55-6969-01A-11R-1949-07",866,1773,1870,2164,3362,341,1309,13462,5633,2061,37592,3833,2344,5040,2485,495,3,1408,3264,3257,4931,3982,491,150,11343,619,390,25583,945,2453,7074,4701,6458,4293
"TCGA-55-6969-11A-01R-1949-07",72,254,877,358,2666,56,841,6341,1683,401,4128,4322,508,3706,1645,28,25,165,131,851,1758,1433,1540,30,6120,30,37,10579,248,222,3369,2480,2127,1669
