"","ENSG00000007968.7","ENSG00000080839.12","ENSG00000096968.14","ENSG00000101412.13","ENSG00000103479.16","ENSG00000105173.14","ENSG00000105810.10","ENSG00000110092.4","ENSG00000111276.11","ENSG00000112242.15","ENSG00000115415.20","ENSG00000118971.9","ENSG00000123374.11","ENSG00000124762.14","ENSG00000126561.17","ENSG00000129173.13","ENSG00000133101.10","ENSG00000133740.11","ENSG00000134057.15","ENSG00000135446.17","ENSG00000136997.21","ENSG00000139687.16","ENSG00000147883.12","ENSG00000147889.18","ENSG00000162434.13","ENSG00000164045.12","ENSG00000165891.16","ENSG00000168610.16","ENSG00000169016.17","ENSG00000170312.16","ENSG00000170581.14","ENSG00000173757.10","ENSG00000197122.12","ENSG00000205250.9"
"TCGA-78-7152-01A-11R-2039-07",134,127,471,514,798,113,195,8257,2736,674,5980,2308,423,1650,1092,91,7,374,567,1463,4199,1622,696,164,3687,47,25,12168,235,277,2345,1597,1051,730
"TCGA-05-4390-01A-02R-1755-07",676,773,1292,1893,1467,336,150,6176,1665,920,3826,367,891,3560,368,76,1,1401,2879,4285,1470,1725,108,81,2957,206,107,13596,609,1967,4050,2088,4215,2245
"TCGA-44-7659-01A-11R-2066-07",46,181,474,375,2565,60,424,10604,2067,569,9371,711,463,2862,975,67,61,299,270,1228,1283,1540,827,449,6293,73,34,11103,318,239,4224,2180,2272,1795
"TCGA-97-7941-01A-11R-2187-07",208,379,970,463,5505,179,2050,14406,4700,1130,14742,2154,1087,8523,2501,306,134,513,710,1784,5454,2965,4363,920,13017,171,115,18808,655,487,8892,3568,14471,4341
"TCGA-49-4514-01A-21R-1858-07",459,255,261,1043,574,410,525,2976,1467,614,5939,1167,689,1390,1052,200,26,122,1819,1292,491,1194,586,1760,3792,248,104,9117,234,2643,1880,832,3955,2510
"TCGA-55-A490-01A-11R-A466-07",460,990,302,456,1199,200,236,16182,2469,1168,5055,773,1193,7632,1879,486,7,321,1605,2313,5115,804,612,177,4005,149,28,22058,241,2229,4897,4765,4651,3217
"TCGA-55-8508-01A-11R-2403-07",131,288,345,550,1436,102,413,3026,1155,480,4589,856,478,3500,558,325,6,309,1342,1182,256,647,287,100,4353,70,39,8698,335,373,3275,1655,2651,2346
"TCGA-MP-A4TE-01A-22R-A466-07",331,505,261,1379,1949,180,176,14145,3011,1370,3519,436,1271,6759,545,331,1,1582,1599,5113,4381,1780,457,396,3913,370,21,22322,799,921,5015,3092,7475,3302
"TCGA-44-2668-01A-01R-0946-07",280,1211,2091,2044,4586,1415,3738,24734,4964,2153,59535,2186,3375,18316,5003,1335,10,973,9355,9745,4171,4491,1959,400,23883,627,634,26222,727,5660,15183,3905,9307,9238
"TCGA-44-2668-11A-01R-1758-07",261,451,1431,745,3876,145,989,9497,2299,1479,8229,5945,1187,19869,5743,83,34,280,359,1895,6493,3070,1449,75,14409,122,50,34900,755,441,4205,5250,4312,4377
"TCGA-44-2668-01B-02R-A277-07",113,946,2284,292,3819,230,4921,5905,1605,1232,18025,4035,840,2927,1354,335,6,713,1458,827,1200,2715,627,291,9968,195,321,9421,355,1624,6827,1707,1896,1549
"TCGA-97-A4M1-01A-11R-A24X-07",92,396,798,543,4310,63,729,9412,2872,661,7913,1130,648,1564,2020,45,20,350,446,1488,591,1380,939,283,8679,37,20,11424,377,383,6113,3528,4475,3484
"TCGA-75-6206-01A-11R-1755-07",47,204,448,425,4829,35,991,7223,2938,989,7375,3666,520,3330,961,40,3,576,208,1469,1291,1423,815,98,3275,32,17,15760,437,84,5363,1609,3655,2385
"TCGA-86-8671-01A-11R-2403-07",402,441,1630,499,3335,180,1253,3970,3284,843,29994,3278,674,4299,4511,193,16,275,668,1747,1113,1784,625,93,10359,102,95,13827,427,612,8167,3992,3859,3376
"TCGA-78-7160-01A-11R-2039-07",218,459,1101,246,2743,283,1028,12149,2347,1937,20023,2025,566,4942,1642,251,3,417,1041,1296,2573,2341,1756,124,9490,177,62,13144,611,1574,4868,2659,3264,2190
"TCGA-64-1681-01A-11R-2066-07",229,778,1180,692,4169,184,819,12267,3459,1304,24064,1650,1436,7627,1859,159,139,377,1061,2498,1113,1721,197,36,14319,187,150,22895,784,1295,9115,3379,5413,4509
"TCGA-49-4494-01A-01R-1206-07",534,1253,839,2808,1487,791,2088,45368,5106,1353,31278,958,2051,31085,1847,909,30,525,6932,9471,1372,6053,529,58,7195,570,157,17975,884,4476,7399,2962,5201,5276
"TCGA-50-5946-01A-11R-1755-07",1276,1605,439,5358,4930,1696,1743,26541,6563,5754,25719,1188,3139,6229,1780,2112,13,651,6213,5534,2153,1100,228,19,9796,1347,1924,21707,1337,9872,13216,4939,7107,3892
"TCGA-55-7913-01B-11R-2241-07",888,1231,293,3113,3188,5109,3283,27996,6163,3497,18655,466,1597,5161,1976,1052,1,988,3589,7196,4310,2724,928,1426,7056,771,226,30023,1317,7154,7304,4812,7606,5630
"TCGA-44-6779-01A-11R-1858-07",148,350,692,491,2747,91,1462,3418,1185,642,22535,811,1300,2214,1030,592,11,76,1549,1537,3249,1336,75,16,11327,85,196,8460,377,1412,8716,1085,1892,2155
"TCGA-49-AARE-01A-11R-A41B-07",1208,570,613,1632,1547,1227,571,6223,2110,1581,11935,1271,1555,4743,1232,614,373,303,2744,4307,1199,1209,8176,8562,4198,361,143,16330,697,1782,7220,2635,5139,6559
